Torque,Speed
0.00976777,299.993
0.00962125,299.994
0.00947693,299.994
0.00933478,299.994
0.00919476,299.994
0.00905684,299.994
0.00892098,299.994
0.00878717,299.994
0.00865536,299.994
0.00852553,299.994
0.00839765,299.994
0.00827168,299.994
0.00814761,299.995
0.00802539,299.995
0.00790501,299.995
0.00778644,299.995
0.00766964,299.995
0.0075546,299.995
0.00744128,299.995
0.00732966,299.995
0.00721971,299.995
0.00711142,299.995
0.00700475,299.995
0.00689967,299.995
0.00679618,299.995
0.00669424,299.996
0.00659382,299.996
0.00649492,299.996
0.00639749,299.996
0.00630153,299.996
0.00620701,299.996
0.0061139,299.996
0.00602219,299.996
0.00593186,299.996
0.00584288,299.996
0.00575524,299.996
0.00566891,299.996
0.00558388,299.996
0.00550012,299.996
0.00541762,299.996
0.00533635,299.996
0.00525631,299.996
0.00517746,299.997
0.0050998,299.997
0.0050233,299.997
0.00494795,299.997
0.00487373,299.997
0.00480063,299.997
0.00472862,299.997
0.00465769,299.997
0.00458782,299.997
0.00451901,299.997
0.00445122,299.997
0.00438445,299.997
0.00431869,299.997
0.00425391,299.997
0.0041901,299.997
0.00412725,299.997
0.00406534,299.997
0.00400436,299.997
0.00394429,299.997
0.00388513,299.997
0.00382685,299.997
0.00376945,299.997
0.00371291,299.998
0.00365721,299.998
0.00360236,299.998
0.00354832,299.998
0.00349509,299.998
0.00344267,299.998
0.00339103,299.998
0.00334016,299.998
0.00329006,299.998
0.00324071,299.998
0.0031921,299.998
0.00314422,299.998
0.00309705,299.998
0.0030506,299.998
0.00300484,299.998
0.00295977,299.998
0.00291537,299.998
0.00287164,299.998
0.00282857,299.998
0.00278614,299.998
0.00274434,299.998
0.00270318,299.998
0.00266263,299.998
0.00262269,299.998
0.00258335,299.998
0.0025446,299.998
0.00250643,299.998
0.00246884,299.998
0.0024318,299.998
0.00239533,299.998
0.0023594,299.998
0.00232401,299.998
0.00228915,299.998
0.00225481,299.998
0.00222099,299.999
0.00218767,299.999
0.00215486,299.999
0.00212253,299.999
0.0020907,299.999
0.00205934,299.999
0.00202845,299.999
0.00199802,299.999
0.00196805,299.999
0.00193853,299.999
0.00190945,299.999
0.00188081,299.999
0.0018526,299.999
0.00182481,299.999
0.00179743,299.999
0.00177047,299.999
0.00174392,299.999
0.00171776,299.999
0.00169199,299.999
0.00166661,299.999
0.00164161,299.999
0.00161699,299.999
0.00159273,299.999
0.00156884,299.999
0.00154531,299.999
0.00152213,299.999
0.0014993,299.999
0.00147681,299.999
0.00145466,299.999
0.00143284,299.999
0.00141134,299.999
0.00139017,299.999
0.00136932,299.999
0.00134878,299.999
0.00132855,299.999
0.00130862,299.999
0.00128899,299.999
0.00126966,299.999
0.00125061,299.999
0.00123185,299.999
0.00121338,299.999
0.00119517,299.999
0.00117725,299.999
0.00115959,299.999
0.00114219,299.999
0.00112506,299.999
0.00110819,299.999
0.00109156,299.999
0.00107519,299.999
0.00105906,299.999
0.00104318,299.999
0.00102753,299.999
0.00101212,299.999
0.000996933,299.999
0.000981979,299.999
0.00096725,299.999
0.000952741,299.999
0.00093845,299.999
0.000924373,299.999
0.000910507,299.999
0.00089685,299.999
0.000883397,299.999
0.000870146,299.999
0.000857094,299.999
0.000844238,299.999
0.000831574,299.999
0.0008191,299.999
0.000806814,299.999
0.000794712,299.999
0.000782791,299.999
0.000771049,299.999
0.000759483,299.999
0.000748091,300
0.00073687,300
0.000725817,300
0.000714929,300
0.000704205,300
0.000693642,300
0.000683238,300
0.000672989,300
0.000662894,300
0.000652951,300
0.000643157,300
0.000633509,300
0.000624007,300
0.000614647,300
0.000605427,300
0.000596346,300
0.0005874,300
0.000578589,300
0.00056991,300
0.000561362,300
0.000552941,300
0.000544647,300
0.000536478,300
0.00052843,300
0.000520504,300
0.000512696,300
0.000505006,300
0.000497431,300
0.000489969,300
0.00048262,300
0.000475381,300
0.00046825,300
0.000461226,300
0.000454308,300
0.000447493,300
0.000440781,300
0.000434169,300
0.000427656,300
0.000421242,300
0.000414923,300
0.000408699,300
0.000402569,300
0.00039653,300
0.000390582,300
0.000384723,300
0.000378953,300
0.000373268,300
0.000367669,300
0.000362154,300
0.000356722,300
0.000351371,300
0.000346101,300
0.000340909,300
0.000335795,300
0.000330758,300
0.000325797,300
0.00032091,300
0.000316096,300
0.000311355,300
0.000306685,300
0.000302084,300
0.000297553,300
0.00029309,300
0.000288694,300
0.000284363,300
0.000280098,300
0.000275896,300
0.000271758,300
0.000267681,300
0.000263666,300
0.000259711,300
0.000255815,300
0.000251978,300
0.000248199,300
0.000244476,300
0.000240808,300
0.000237196,300
0.000233638,300
0.000230134,300
0.000226682,300
0.000223282,300
0.000219932,300
0.000216633,300
0.000213384,300
0.000210183,300
0.00020703,300
0.000203925,300
0.000200866,300
0.000197853,300
0.000194885,300
0.000191962,300
0.000189083,300
0.000186246,300
0.000183453,300
0.000180701,300
0.00017799,300
0.00017532,300
0.000172691,300
0.0001701,300
0.000167549,300
0.000165036,300
0.00016256,300
0.000160122,300
0.00015772,300
0.000155354,300
0.000153024,300
0.000150728,300
0.000148467,300
0.00014624,300
0.000144047,300
0.000141886,300
0.000139758,300
0.000137661,300
0.000135597,300
0.000133563,300
